dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query
0041b9c3-6a49-4bf7-8514-9bc7190067a7,0,0,,,blood;brain;intestine;kidney;liver;lung
00476f9f-ebc1-4b72-b541-32f912ce36ea,0,0,,,blood;brain;intestine;kidney;liver;lung
00593d17-0693-4646-acad-89dbefba11bb,0,0,,,blood;brain;intestine;kidney;liver;lung
0087cde2-967d-4f7c-8e6e-40e4c9ad1891,5399,1,brain,normal,blood;brain;intestine;kidney;liver;lung
00e5dedd-b9b7-43be-8c28-b0e5c6414a62,0,0,,,blood;brain;intestine;kidney;liver;lung
00f15b43-f871-46d8-8105-814387ad8658,0,0,,,blood;brain;intestine;kidney;liver;lung
00ff600e-6e2e-4d76-846f-0eec4f0ae417,0,0,,,blood;brain;intestine;kidney;liver;lung
01209dce-3575-4bed-b1df-129f57fbc031,28684,6,blood;lung,normal,blood;brain;intestine;kidney;liver;lung
0129dbd9-a7d3-4f6b-96b9-1da155a93748,0,0,,,blood;brain;intestine;kidney;liver;lung
015c230d-650c-4527-870d-8a805849a382,0,0,,,blood;brain;intestine;kidney;liver;lung
019c7af2-c827-4454-9970-44d5e39ce068,0,0,,,blood;brain;intestine;kidney;liver;lung
01ad3cd7-3929-4654-84c0-6db05bd5fd59,600929,11,blood,COVID-19;normal;respiratory system disorder,blood;brain;intestine;kidney;liver;lung
01b84709-139c-4485-98a9-6e14c58fbbf6,0,0,,,blood;brain;intestine;kidney;liver;lung
01c93cf6-b695-4e30-a26e-121ae8b16a9e,3726,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung
02474d5c-7faa-4567-80f8-56abc0a1df62,0,0,,,blood;brain;intestine;kidney;liver;lung
02792605-4760-4023-82ad-40fc4458a5db,65396,27,liver,primary biliary cholangitis;primary sclerosing cholangitis,blood;brain;intestine;kidney;liver;lung
03181d87-4769-41e7-8c39-d9a81835f0d2,0,0,,,blood;brain;intestine;kidney;liver;lung
0325478a-9b52-45b5-b40a-2e2ab0d72eb1,0,0,,,blood;brain;intestine;kidney;liver;lung
0374f03c-62e2-4859-8a14-acb00b0627d5,0,0,,,blood;brain;intestine;kidney;liver;lung
03c544fb-a103-4d18-9230-eae9cfee3af2,0,0,,,blood;brain;intestine;kidney;liver;lung
03d38670-1444-4001-bc53-9936e61d9b20,0,0,,,blood;brain;intestine;kidney;liver;lung
03d5794d-cde9-4769-a1a9-b3899d2b1d87,0,0,,,blood;brain;intestine;kidney;liver;lung
0436a180-cb44-47ba-8ffa-807b7a468469,0,0,,,blood;brain;intestine;kidney;liver;lung
04557650-a691-4306-a56c-232fbfeb236c,0,0,,,blood;brain;intestine;kidney;liver;lung
04a23820-ffa8-4be5-9f65-64db15631d1e,0,0,,,blood;brain;intestine;kidney;liver;lung
04b0eb97-d816-44bb-93a5-8b2968791aa0,0,0,,,blood;brain;intestine;kidney;liver;lung
04c0bdd8-840f-488e-b72d-2a1229bc65db,0,0,,,blood;brain;intestine;kidney;liver;lung
04c94a7d-1133-42c9-bb48-c697bd302a8d,0,0,,,blood;brain;intestine;kidney;liver;lung
04d87de6-c20a-4186-8884-f47dba20b0a4,0,0,,,blood;brain;intestine;kidney;liver;lung
055ca631-6ffb-40de-815e-b931e10718c0,0,0,,,blood;brain;intestine;kidney;liver;lung
059022cf-885a-4ef8-944b-d9e5381aa1c6,0,0,,,blood;brain;intestine;kidney;liver;lung
05a49baa-d326-42ae-86d2-94de3a659901,0,0,,,blood;brain;intestine;kidney;liver;lung
064fa88b-78dc-4edd-b9cd-bcc16964c81e,0,0,,,blood;brain;intestine;kidney;liver;lung
066943a2-fdac-4b29-b348-40cede398e4e,0,0,,,blood;brain;intestine;kidney;liver;lung
06b91002-4d3d-4d2e-8484-20c3b31e232c,0,0,,,blood;brain;intestine;kidney;liver;lung
06ef6b36-6c9b-4e10-8a94-d0baf274276e,0,0,,,blood;brain;intestine;kidney;liver;lung
07428d73-fdea-4bd4-a801-94b00c4d961c,0,0,,,blood;brain;intestine;kidney;liver;lung
07574da2-6bd3-4708-a04d-27d95c009f4e,0,0,,,blood;brain;intestine;kidney;liver;lung
07760522-707a-4a1c-8891-dbd1226d6b27,0,0,,,blood;brain;intestine;kidney;liver;lung
07854d9c-5375-4a9b-ac34-fa919d3c3686,0,0,,,blood;brain;intestine;kidney;liver;lung
07b1d7c8-5c2e-42f7-9246-26f746cd6013,0,0,,,blood;brain;intestine;kidney;liver;lung
