dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query,collection_name,collection_doi,dataset_title,dataset_h5ad_path,dataset_total_cell_count,n_tissues,n_diseases,score_celltype,score_cells,score_single_tissue,score_low_disease_mix,auto_score,use,selected_reason,matched_tissue,matched_tissues
3dc61ca1-ce40-46b6-8337-f27260fd9a03,71752,77,lung,normal,blood;intestine;liver;lung,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,All cells,3dc61ca1-ce40-46b6-8337-f27260fd9a03.h5ad,71752,1,1,1.0,0.620970894972768,1.0,1.0,2.972582536983661,1,auto_balanced_top8_for_lung,lung,lung
093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f,69711,56,lung,normal,blood;intestine;liver;lung,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,10.1038/s41588-022-01243-4,All cells and nuclei,093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f.h5ad,193108,1,1,0.704225352112676,0.6024131440885244,1.0,1.0,2.6656732385657906,1,auto_balanced_top8_for_lung,lung,lung
c2a461b1-0c15-4047-9fcb-1f966fe55100,97499,26,blood,COVID-19,blood;intestine;liver;lung,Sampling peripheral blood and matched nasal swabs from donors with prior immunodeficiencies and autoimmune conditions infected with SARS-CoV-2,10.1101/2020.11.20.20227355,Autoimmunity PBMCs,c2a461b1-0c15-4047-9fcb-1f966fe55100.h5ad,97499,1,1,0.28169014084507044,0.8550749674943854,1.0,1.0,2.394735121341702,1,auto_balanced_top8_for_blood,blood,blood
7c497c66-c2e2-4291-8b96-339e5e65f314,76298,28,lung,COVID-19,blood;intestine;liver;lung,A molecular cell atlas of COVID-19 initiation in human lung,10.1084/jem.20232192,All annotated cells from infection 4,7c497c66-c2e2-4291-8b96-339e5e65f314.h5ad,76298,1,1,0.30985915492957744,0.6623053072803484,1.0,1.0,2.3072423392977868,1,auto_balanced_top8_for_lung,lung,lung
429d21fd-bb9a-4abf-922b-c15138524bdd,108613,13,lung,normal,blood;intestine;liver;lung,Ischemia Reperfusion Responses in Human Lung Transplants at the Single Cell Resolution,10.1016/j.ajt.2024.08.019,scRNA-seq of lung biopsies from six human lung transplant cases,429d21fd-bb9a-4abf-922b-c15138524bdd.h5ad,108613,1,1,0.09859154929577464,0.9561287858811977,1.0,1.0,2.272268820824493,1,auto_balanced_top8_for_lung,lung,lung
5af90777-6760-4003-9dba-8f945fec6fdf,60084,30,blood,normal,blood;intestine;liver;lung,Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer,10.1016/j.ccell.2022.11.001,Single-cell transcriptomic datasets of Renal cell carcinoma patients,5af90777-6760-4003-9dba-8f945fec6fdf.h5ad,270855,1,1,0.3380281690140845,0.5148798428819523,1.0,1.0,2.246956074743256,1,auto_balanced_top8_for_blood,blood,blood
b61a921b-7fa3-4b42-b455-aaaf32447920,21144,43,lung,normal,blood;intestine;liver;lung,A Unique Cellular Organization of Human Distal Airways and Its Disarray in Chronic Obstructive Pulmonary Disease,10.1164/rccm.202207-1384OC,A Unique Cellular Organization of Human Distal Airways and Its Disarray in Chronic Obstructive Pulmonary Disease,b61a921b-7fa3-4b42-b455-aaaf32447920.h5ad,115788,1,1,0.5211267605633803,0.1608186868640947,1.0,1.0,2.217617972681837,1,auto_balanced_top8_for_lung,lung,lung
19053a82-9c89-4fb8-bd19-d7b1800b0b7b,10785,59,intestine,colorectal cancer;normal,blood;intestine;liver;lung,Single-cell integration reveals metaplasia in inflammatory gut diseases,10.1038/s41586-024-07571-1,Extended+ - 18485 genes,19053a82-9c89-4fb8-bd19-d7b1800b0b7b.h5ad,1596200,1,2,0.7464788732394366,0.06662969058291887,1.0,0.75,2.186456687589188,1,auto_balanced_top8_for_intestine,intestine,intestine
2ac76f1b-43ef-4271-8686-2f165570989f,48226,29,lung,COVID-19,blood;intestine;liver;lung,A molecular cell atlas of COVID-19 initiation in human lung,10.1084/jem.20232192,All annotated cells from infection 1,2ac76f1b-43ef-4271-8686-2f165570989f.h5ad,48226,1,1,0.323943661971831,0.4070612196652149,1.0,1.0,2.1681803937709603,1,auto_balanced_top8_for_lung,lung,lung
3c75a463-6a87-4132-83a8-c3002624394d,95064,24,blood,common variable immunodeficiency;normal,blood;intestine;liver;lung,Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses,10.1038/s41467-022-29450-x,Activated PBMCs - Expanded cohort CITE-seq,3c75a463-6a87-4132-83a8-c3002624394d.h5ad,95064,1,2,0.2535211267605634,0.8329347796437566,1.0,0.75,2.1532819945468176,1,auto_balanced_top8_for_blood,blood,blood
8c42cfd0-0b0a-46d5-910c-fc833d83c45e,65662,46,blood;lung,normal,blood;intestine;liver;lung,A molecular cell atlas of the human lung from single cell RNA sequencing,10.1038/s41586-020-2922-4,"Krasnow Lab Human Lung Cell Atlas, 10X",8c42cfd0-0b0a-46d5-910c-fc833d83c45e.h5ad,65662,2,1,0.5633802816901409,0.5655976941471709,0.5,1.0,2.102738898178443,1,auto_balanced_top8_for_blood,blood,blood;lung
5e717147-0f75-4de1-8bd2-6fda01b8d75f,90957,22,blood,COVID-19;normal,blood;intestine;liver;lung,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,10.1016/j.isci.2021.103115,Individual Single-Cell RNA-seq PBMC Data from Schulte-Schrepping et al.,5e717147-0f75-4de1-8bd2-6fda01b8d75f.h5ad,90957,1,2,0.22535211267605634,0.7955919658850165,1.0,0.75,2.102707292207066,1,auto_balanced_top8_for_blood,blood,blood
d18736c3-6292-4379-919a-d6d973204c87,108717,15,blood,normal;rheumatoid arthritis,blood;intestine;liver;lung,Single-cell RNA-seq analysis reveals cell subsets and gene signatures associated with Rheumatoid Arthritis Disease Activity,10.1172/jci.insight.178499,Single-cell RNA-seq analysis reveals cell subsets and gene signatures associated with Rheumatoid Arthritis Disease Activity,d18736c3-6292-4379-919a-d6d973204c87.h5ad,108717,1,2,0.1267605633802817,0.9570744037606496,1.0,0.75,2.1010052056366715,1,auto_balanced_top8_for_blood,blood,blood
